Name,Email,Location,Zip Code,Age,Gender,Language,Loyalty Program Member,Product Name,Purchase History,Avg Order Value,Cart Abandoned,Payment Method,Page Views,Time Spent (min),Clickstream Data,Search Query,Bounce Rate,Newsletter Opened,Product Rating,Support Queries,Survey Response,Social Media Share,Device Type,Browser Type,Operating System,IP Address,Referral Source,Promotional Elasticity,Loyalty Effect on Purchase,Engagement Score,Cost per Acquisition (CPA),Cost per Channel,Total Revenue,Gross Profit,Net Profit,COGS,Operating Expenses,Profit Margin (%),Revenue Trend,Expense Breakdown,Gross vs Net Profit,Region-wise Revenue Contribution,Churned,Customer ID,Transaction Date,Previous Category,Total Completed Purchase Value,Total Orders in Time Slot,Total Floated Coupon,Reactivated Customers (Per Campaign),Labor Cost,Raw Material Cost,Shipping Cost,Income Group,First Interaction Date,Awareness Stage,Consideration Stage,Intent Stage,Purchase Stage,Product Page Visits,Add to Cart Count,Checkout Initiated,Payments Attempted,Payments Successful,Return Requests,Out of Stock Occurrences,Defective Complaints,Last Purchase Date,Subscription Cancelled,Churn Reason,Discount Applied,Product Price,Quantity Sold,Chargebacks,Number of Chargebacks,#Fraud Flag,Average Resolution Time,Average Response Time,Ticket Resolution Time,Impact of Support Quality on Repeat Purchases,Total Units,Order Shipment Time,Placement Time,Delivery Time,Delivery Delays,Reason for Delivery Delays,Return Due to Delivery Issues,Payment & Transaction Failures,Reasons for Payment Failure,source,Retailer_Name,Store_ID,Store_Location_City,Store_Location_Country,POS_Transaction_ID,Category,Seasonal_Trend,Stock_Availability,Shelf_Space_Allocation,Repeat_Purchase_Rate,Basket_Size,Cross_Purchased_Products,Brand_Substitution_Rate,Category_Share_in_Retailer_Sales,Competitor_Promotion_Impact,Retail_Foot_Traffic,Customer Segment,In_Store_Advertising_Effectiveness,Transaction Amount,Checkout Abandoned,Payment Failure,Product_Issue_Reported,Campaign_Exposure,Return_Flag,Customer Segment Type,Region,Order_ID,Purchase_Frequency,Product_Views,Wishlist_Adds,Delivery_Location_City,Delivery_Location_Country,Shipping_Method,Return_Refund_Rate,Order_Fulfillment_Time,Ad_Clicks,Impressions,Coupon_Code_Usage,Product_Bundling_Preferences,Churn_Risk,Repeat_Purchase_Decline,Discounted,Return_Rate,Defective_Flag,Channel,Cluster
User1,user1363@mondelez.com,London,46880,39,Male,Chinese,0,Dairy Milk,Dairy Milk (7 times),74.77,1,PayPal,22,12.08333333,Home > Chocolate > Dairy Milk,Snacks,1,FALSE,2,Payment Issue,Negative,TRUE,Mobile,Safari,Android,86.119.191.151,EmailCampaign,0.2,74.77,0.526086957,2,1,52.60869565,15.7826087,-34.2173913,36.82608696,100,-65.04132231,57.86956522,1.900826446,50,10.52173913,0,3832,4/1/2021,BelVita,74.77,2,2,2,107.1378536,437.0297991,32.83442659,Medium,3/10/2021,4,4,1,2,302,234,186,158,155,2,0,1,12/7/2024,1,Service,20,456,6,0,0,0,0:02:00,0:02:00,0:02:00,0,10,0:07:00,0:02:00,0:07:00,No,Shipping carrier issue,No,No,Credit card expired,Own Website Data,Generic Retailer,STORE234,New York,India,TXN36704,Chocolate,High,In Stock,5,0.49811,5,Bread,0.4942,28.16862,Low,2791,Regular,Medium,89.27283,0,0,0,Yes,0,Returning,South,ORD10000,5,50,1,Mumbai,Australia,Standard,0.51529,0:05:24,9,5142,2,Candy & Gum,Low,49.00096,TRUE,15.66809,1,Web,1
User2,user2917@gmail.com,NewYork,14720,34,Male,Chinese,1,Tang,Tang (8 times),74.48,0,Credit Card,35,18.61666667,Home > Beverages > Tang,Tang,1,TRUE,4,Payment Issue,Positive,FALSE,Desktop,Chrome,Android,172.6.92.167,Direct,0.8,89.376,0.517222222,8,4,51.72222222,15.51666667,-34.48333333,36.20555556,100,-66.67024705,56.89444444,1.933404941,50,10.34444444,0,6679,5/1/2022,Sour Patch,74.48,1,1,2,224.4222795,335.3927102,82.40090794,Medium,4/24/2022,6,5,3,3,470,406,365,358,352,5,3,2,9/10/2024,0,Service,5,311,5,0,0,0,0:05:00,0:02:00,0:03:00,7,10,0:04:00,0:01:00,0:04:00,Yes,Shipping carrier issue,No,No,Credit card expired,Own Website Data,Generic Retailer,STORE234,New York,India,TXN36704,Chocolate,High,In Stock,5,0.49811,5,Bread,0.4942,28.16862,Low,2791,Regular,Medium,89.27283,0,0,0,Yes,0,Returning,South,ORD10000,5,50,1,Mumbai,Australia,Standard,0.51529,0:05:24,9,5142,2,Candy & Gum,Low,49.00096,TRUE,15.66809,1,Web,0
User3,user3136@outlook.com,Sydney,98108,40,Male,French,1,Mirinda,Mirinda (3 times),66.02,0,UPI,40,13.11666667,Home > Beverages > Mirinda,Mirinda,0,TRUE,4,Product Complaint,Positive,FALSE,Desktop,Firefox,iOS,142.92.206.89,Instagram,0.8,79.224,0.32,8,4,32,9.6,-40.4,22.4,100,-126.25,35.2,3.125,50,6.4,0,7579,2/1/2022,Oreo,66.02,4,2,1,425.1846861,252.5661941,48.1292374,Low,1/8/2022,6,4,7,1,306,257,215,198,198,0,3,0,1/22/2025,0,Quality,10,243,1,0,0,0,0:03:00,0:01:00,0:02:00,8,10,0:05:00,0:02:00,0:06:00,Yes,Shipping carrier issue,No,No,Credit card expired,Own Website Data,Generic Retailer,STORE234,New York,India,TXN36704,Chocolate,High,In Stock,5,0.49811,5,Bread,0.4942,28.16862,Low,2791,Regular,Medium,89.27283,0,0,0,Yes,0,Returning,South,ORD10000,5,50,1,Mumbai,Australia,Standard,0.51529,0:05:24,9,5142,2,Candy & Gum,Low,49.00096,TRUE,15.66809,1,Web,0
User4,user4911@mondelez.com,NewYork,13640,23,Female,Chinese,1, Star,5 Star (3 times),17.78,1,PayPal,37,11.81666667,Home > Chocolate > 5 Star,5 Star,0,FALSE,2,Delayed Order,Neutral,TRUE,Desktop,Safari,Windows,234.32.184.215,Facebook,0.8,21.336,0.311315789,8,4,31.13157895,9.339473684,-40.66052632,21.79210526,100,-130.6086221,34.24473684,3.212172443,50,6.226315789,0,1152,2/1/2022,Mirinda,17.78,2,3,1,441.6315288,646.4074717,31.54501494,High,1/16/2022,2,2,4,1,271,236,211,192,184,3,1,1,9/8/2024,0,No Need,20,198,18,0,0,0,0:03:00,0:01:00,0:05:00,9,10,0:07:00,0:00:00,0:09:00,Yes,Shipping carrier issue,No,No,Credit card expired,Own Website Data,Generic Retailer,STORE234,New York,India,TXN36704,Chocolate,High,In Stock,5,0.49811,5,Bread,0.4942,28.16862,Low,2791,Regular,Medium,89.27283,0,0,0,Yes,0,Returning,South,ORD10000,5,50,1,Mumbai,Australia,Standard,0.51529,0:05:24,9,5142,2,Candy & Gum,Low,49.00096,TRUE,15.66809,1,Web,0
User5,user5953@gmail.com,Toronto,61759,33,Other,French,0,Halls,Halls (4 times),31.2,0,UPI,33,2.75,Home > Candy > Halls,Halls,0,TRUE,2,Product Complaint,Positive,TRUE,Tablet,Firefox,Android,233.108.193.253,Google,0.8,31.2,0.081176471,8,4,8.117647059,2.435294118,-47.56470588,5.682352941,100,-585.942029,8.929411765,12.31884058,50,1.623529412,1,6754,1/1/2022,Clorets,31.2,5,2,1,339.2736678,327.0452062,81.65251671,Low,12/14/2021,9,4,9,2,388,329,308,302,299,5,1,1,8/18/2024,0,Price,20,424,15,0,0,0,0:05:00,0:01:00,0:04:00,5,10,0:03:00,0:00:00,0:03:00,No,Shipping carrier issue,No,No,Credit card expired,Own Website Data,Generic Retailer,STORE234,New York,India,TXN36704,Chocolate,High,In Stock,5,0.49811,5,Bread,0.4942,28.16862,Low,2791,Regular,Medium,89.27283,0,0,0,Yes,0,Returning,South,ORD10000,5,50,1,Mumbai,Australia,Standard,0.51529,0:05:24,9,5142,2,Candy & Gum,Low,49.00096,TRUE,15.66809,1,Web,0
User6,user6294@yahoo.com,NewYork,58199,23,Male,English,0,Trident,Trident (8 times),98.95,0,UPI,40,11.66666667,Home > Gum > Trident,Trident,0,TRUE,2,Delayed Order,Positive,TRUE,Mobile,Firefox,iOS,230.195.178.122,Facebook,0.8,98.95,0.284634146,8,4,28.46341463,8.53902439,-41.46097561,19.92439024,100,-145.664096,31.3097561,3.513281919,50,5.692682927,1,3800,7/1/2021,Stride,98.95,2,1,0,165.5644102,670.8591872,84.00409499,Medium,6/4/2021,6,5,7,1,220,182,135,120,118,6,1,2,12/28/2024,1,Price,0,425,10,0,0,0,0:01:00,0:02:00,0:01:00,1,10,0:05:00,0:00:00,0:07:00,No,Shipping carrier issue,No,No,Credit card expired,Own Website Data,Generic Retailer,STORE234,New York,India,TXN36704,Chocolate,High,In Stock,5,0.49811,5,Bread,0.4942,28.16862,Low,2791,Regular,Medium,89.27283,0,0,0,Yes,0,Returning,South,ORD10000,5,50,1,Mumbai,Australia,Standard,0.51529,0:05:24,9,5142,2,Candy & Gum,Low,49.00096,TRUE,15.66809,1,Web,0
User7,user7932@outlook.com,Toronto,15150,23,Male,English,0,TUC,TUC (4 times),17.28,1,UPI,35,4.183333333,Home > Biscuits > TUC,Snacks,1,TRUE,2,Payment Issue,Negative,TRUE,Desktop,Chrome,iOS,200.185.88.62,Instagram,0.2,17.28,0.116388889,2,1,11.63888889,3.491666667,-46.50833333,8.147222222,100,-399.5942721,12.80277778,8.591885442,50,2.327777778,1,6310,3/1/2022,Stride,17.28,1,4,0,158.1572653,385.4279489,51.06309223,High,2/21/2022,5,6,5,2,302,265,222,214,214,9,0,1,1/9/2025,1,Service,20,84,3,0,0,0,0:05:00,0:02:00,0:03:00,5,10,0:05:00,0:03:00,0:05:00,No,Shipping carrier issue,No,Yes,Payment gateway issues,Own Website Data,Generic Retailer,STORE234,New York,India,TXN36704,Chocolate,High,In Stock,5,0.49811,5,Bread,0.4942,28.16862,Low,2791,Regular,Medium,89.27283,0,0,0,Yes,0,Returning,South,ORD10000,5,50,1,Mumbai,Australia,Standard,0.51529,0:05:24,9,5142,2,Candy & Gum,Low,49.00096,TRUE,15.66809,1,Web,0
User8,user8198@mondelez.com,Mumbai,88585,45,Male,English,1,Stride,Stride (9 times),67.64,1,Cash on Delivery,16,5.033333333,Home > Gum > Stride,Stride,0,FALSE,3,Delayed Order,Positive,TRUE,Mobile,Safari,iOS,93.23.166.56,Instagram,0.8,81.168,0.296470588,8,4,29.64705882,8.894117647,-41.10588235,20.75294118,100,-138.6507937,32.61176471,3.373015873,50,5.929411765,0,3610,7/1/2022,BelVita,67.64,9,2,2,175.0680069,412.9991103,51.99341899,High,6/4/2022,2,4,9,1,321,301,278,255,246,2,4,1,5/11/2024,1,Service,10,418,5,0,0,0,0:04:00,0:02:00,0:02:00,8,10,0:07:00,0:01:00,0:07:00,Yes,Address issues,No,No,Credit card expired,Own Website Data,Generic Retailer,STORE234,New York,India,TXN36704,Chocolate,High,In Stock,5,0.49811,5,Bread,0.4942,28.16862,Low,2791,Regular,Medium,89.27283,0,0,0,Yes,0,Returning,South,ORD10000,5,50,1,Mumbai,Australia,Standard,0.51529,0:05:24,9,5142,2,Candy & Gum,Low,49.00096,TRUE,15.66809,1,Web,1
User9,user9192@yahoo.com,Mumbai,52466,42,Other,French,0,Schweppes,Schweppes (7 times),97.54,0,Credit Card,34,15.33333333,Home > Beverages > Schweppes,Schweppes,0,FALSE,5,Delayed Order,Neutral,FALSE,Tablet,Safari,Windows,51.205.158.16,EmailCampaign,0.8,97.54,0.438571429,8,4,43.85714286,13.15714286,-36.84285714,30.7,100,-84.00651466,48.24285714,2.280130293,50,8.771428571,0,2104,11/1/2023,TUC,97.54,2,1,2,275.0176517,324.2029593,80.28426108,Medium,10/6/2023,1,4,3,3,414,317,272,251,248,8,1,1,10/5/2024,1,Service,15,78,13,0,0,0,0:05:00,0:01:00,0:04:00,2,10,0:02:00,0:03:00,0:05:00,No,Shipping carrier issue,No,No,Credit card expired,Own Website Data,Generic Retailer,STORE234,New York,India,TXN36704,Chocolate,High,In Stock,5,0.49811,5,Bread,0.4942,28.16862,Low,2791,Regular,Medium,89.27283,0,0,0,Yes,0,Returning,South,ORD10000,5,50,1,Mumbai,Australia,Standard,0.51529,0:05:24,9,5142,2,Candy & Gum,Low,49.00096,TRUE,15.66809,1,Web,0
User10,user10528@mondelez.com,Mumbai,52823,63,Other,Chinese,0,Oreo,Oreo (1 times),93.86,1,Credit Card,22,8.566666667,Home > Biscuits > Oreo,Oreo,1,TRUE,5,Delayed Order,Negative,TRUE,Tablet,Safari,MacOS,125.249.71.180,Facebook,0.8,93.86,0.373043478,8,4,37.30434783,11.19130435,-38.80869565,26.11304348,100,-104.032634,41.03478261,2.680652681,50,7.460869565,0,8361,5/1/2022,Stride,93.86,4,3,0,489.4000155,476.6213862,79.4197869,Low,4/13/2022,7,6,8,9,287,221,179,172,164,6,4,0,8/17/2024,1,Quality,10,312,8,0,0,0,0:01:00,0:01:00,0:02:00,8,10,0:03:00,0:00:00,0:06:00,No,Shipping carrier issue,No,No,Credit card expired,Own Website Data,Generic Retailer,STORE234,New York,India,TXN36704,Chocolate,High,In Stock,5,0.49811,5,Bread,0.4942,28.16862,Low,2791,Regular,Medium,89.27283,0,0,0,Yes,0,Returning,South,ORD10000,5,50,1,Mumbai,Australia,Standard,0.51529,0:05:24,9,5142,2,Candy & Gum,Low,49.00096,TRUE,15.66809,1,Web,1
