Name,Email,Location,Zip Code,Age,Gender,Language,Loyalty Program Member,Product Name,Purchase History,Avg Order Value,Cart Abandoned,Payment Method,Page Views,Time Spent (min),Clickstream Data,Search Query,Bounce Rate,Newsletter Opened,Product Rating,Support Queries,Survey Response,Social Media Share,Device Type,Browser Type,Operating System,IP Address,Referral Source,Promotional Elasticity,Loyalty Effect on Purchase,Engagement Score,Cost per Acquisition (CPA),Cost per Channel,Total Revenue,Gross Profit,Net Profit,COGS,Operating Expenses,Profit Margin (%),Revenue Trend,Expense Breakdown,Gross vs Net Profit,Region-wise Revenue Contribution,Churned,Customer ID,Transaction Date,Previous Category,Total Completed Purchase Value,Total Orders in Time Slot,Total Floated Coupon,Reactivated Customers (Per Campaign),Labor Cost,Raw Material Cost,Shipping Cost,Income Group,First Interaction Date,Awareness Stage,Consideration Stage,Intent Stage,Purchase Stage,Product Page Visits,Add to Cart Count,Checkout Initiated,Payments Attempted,Payments Successful,Return Requests,Out of Stock Occurrences,Defective Complaints,Last Purchase Date,Subscription Cancelled,Churn Reason,Discount Applied,Product Price,Quantity Sold,Chargebacks,Number of Chargebacks,#Fraud Flag,Average Resolution Time,Average Response Time,Ticket Resolution Time,Impact of Support Quality on Repeat Purchases,Total Units,Order Shipment Time,Placement Time,Delivery Time,Delivery Delays,Reason for Delivery Delays,Return Due to Delivery Issues,Payment & Transaction Failures,Reasons for Payment Failure,source,Retailer_Name,Store_ID,Store_Location_City,Store_Location_Country,POS_Transaction_ID,Category,Seasonal_Trend,Stock_Availability,Shelf_Space_Allocation,Repeat_Purchase_Rate,Basket_Size,Cross_Purchased_Products,Brand_Substitution_Rate,Category_Share_in_Retailer_Sales,Competitor_Promotion_Impact,Retail_Foot_Traffic,Customer Segment,In_Store_Advertising_Effectiveness,Transaction Amount,Checkout Abandoned,Payment Failure,Product_Issue_Reported,Campaign_Exposure,Return_Flag,Customer Segment Type,Region,Order_ID,Purchase_Frequency,Product_Views,Wishlist_Adds,Delivery_Location_City,Delivery_Location_Country,Shipping_Method,Return_Refund_Rate,Order_Fulfillment_Time,Ad_Clicks,Impressions,Coupon_Code_Usage,Product_Bundling_Preferences,Churn_Risk,Repeat_Purchase_Decline,Discounted,Return_Rate,Defective_Flag,Channel
User1,user1363@mondelez.com,London,46880,39,Male,Chinese,0,Dairy Milk,Dairy Milk (7 times),74.77,1.0,PayPal,22,00:12:05,Home > Chocolate > Dairy Milk,Snacks,1.0,False,2.0,Payment Issue,Negative,True,Mobile,Safari,Android,86.119.191.151,EmailCampaign,0.2,74.77,0.526086956521739,2.0,1.0,52.6086956521739,15.7826086956521,-34.2173913043478,36.8260869565217,100.0,-65.0413223140496,57.8695652173913,1.90082644628099,50.0,10.5217391304347,0,3832,2021-04-01,BelVita,74.77,2,2,2,107.1378536379667,437.0297990730508,32.83442659000386,Medium,2021-03-10,4,4,1,2,302,234,186,158,155,2,0,1,2024-12-07,1,Service,20,456.0,6.0,0,0,0,00:02:00,00:02:00,00:02:00,0.0,10.0,00:07:00,00:02:00,00:07:00,No,Shipping carrier issue,No,No,Credit card expired,Own Website Data,Generic Retailer,STORE234,New York,India,TXN36704,Chocolate,High,In Stock,5,0.49811,5,Bread,0.4942,28.168620000000004,Low,2791,Regular,Medium,89.27283,0,0,0,Yes,0,Returning,South,ORD10000,5,50,1,Mumbai,Australia,Standard,0.5152899999999999,00:05:24,9,5142,2,Candy & Gum,Low,49.00095999999999,True,15.66809,1,Web
User2,user2917@gmail.com,NewYork,14720,34,Male,Chinese,1,Tang,Tang (8 times),74.48,0.0,Credit Card,35,00:18:37,Home > Beverages > Tang,Tang,1.0,True,4.0,Payment Issue,Positive,False,Desktop,Chrome,Android,172.6.92.167,Direct,0.8,89.376,0.517222222222222,8.0,4.0,51.7222222222222,15.5166666666666,-34.4833333333333,36.2055555555555,100.0,-66.6702470461868,56.8944444444444,1.93340494092373,50.0,10.3444444444444,0,6679,2022-05-01,Sour Patch,74.48,1,1,2,224.4222794613195,335.3927102225796,82.40090794096817,Medium,2022-04-24,6,5,3,3,470,406,365,358,352,5,3,2,2024-09-10,0,Service,5,311.0,5.0,0,0,0,00:05:00,00:02:00,00:03:00,7.0,10.0,00:04:00,00:01:00,00:04:00,Yes,Shipping carrier issue,No,No,Credit card expired,Own Website Data,Generic Retailer,STORE234,New York,India,TXN36704,Chocolate,High,In Stock,5,0.49811,5,Bread,0.4942,28.168620000000004,Low,2791,Regular,Medium,89.27283,0,0,0,Yes,0,Returning,South,ORD10000,5,50,1,Mumbai,Australia,Standard,0.5152899999999999,00:05:24,9,5142,2,Candy & Gum,Low,49.00095999999999,True,15.66809,1,Web
User3,user3136@outlook.com,Sydney,98108,40,Male,French,1,Mirinda,Mirinda (3 times),66.02,0.0,UPI,40,00:13:07,Home > Beverages > Mirinda,Mirinda,0.0,True,4.0,Product Complaint,Positive,False,Desktop,Firefox,iOS,142.92.206.89,Instagram,0.8,79.2239999999999,0.32,8.0,4.0,32.0,9.6,-40.4,22.4,100.0,-126.25,35.2,3.125,50.0,6.4,0,7579,2022-02-01,Oreo,66.02,4,2,1,425.1846861286089,252.5661940558074,48.12923739576883,Low,2022-01-08,6,4,7,1,306,257,215,198,198,0,3,0,2025-01-22,0,Quality,10,243.0,1.0,0,0,0,00:03:00,00:01:00,00:02:00,8.0,10.0,00:05:00,00:02:00,00:06:00,Yes,Shipping carrier issue,No,No,Credit card expired,Own Website Data,Generic Retailer,STORE234,New York,India,TXN36704,Chocolate,High,In Stock,5,0.49811,5,Bread,0.4942,28.168620000000004,Low,2791,Regular,Medium,89.27283,0,0,0,Yes,0,Returning,South,ORD10000,5,50,1,Mumbai,Australia,Standard,0.5152899999999999,00:05:24,9,5142,2,Candy & Gum,Low,49.00095999999999,True,15.66809,1,Web
User4,user4911@mondelez.com,NewYork,13640,23,Female,Chinese,1, Star,5 Star (3 times),17.78,1.0,PayPal,37,00:11:49,Home > Chocolate > 5 Star,5 Star,0.0,False,2.0,Delayed Order,Neutral,True,Desktop,Safari,Windows,234.32.184.215,Facebook,0.8,21.336,0.311315789473684,8.0,4.0,31.1315789473684,9.33947368421052,-40.6605263157894,21.7921052631578,100.0,-130.608622147083,34.2447368421052,3.21217244294167,50.0,6.22631578947368,0,1152,2022-02-01,Mirinda,17.78,2,3,1,441.6315288025411,646.4074717015112,31.54501494470851,High,2022-01-16,2,2,4,1,271,236,211,192,184,3,1,1,2024-09-08,0,No Need,20,198.0,18.0,0,0,0,00:03:00,00:01:00,00:05:00,9.0,10.0,00:07:00,00:00:00,00:09:00,Yes,Shipping carrier issue,No,No,Credit card expired,Own Website Data,Generic Retailer,STORE234,New York,India,TXN36704,Chocolate,High,In Stock,5,0.49811,5,Bread,0.4942,28.168620000000004,Low,2791,Regular,Medium,89.27283,0,0,0,Yes,0,Returning,South,ORD10000,5,50,1,Mumbai,Australia,Standard,0.5152899999999999,00:05:24,9,5142,2,Candy & Gum,Low,49.00095999999999,True,15.66809,1,Web
User5,user5953@gmail.com,Toronto,61759,33,Other,French,0,Halls,Halls (4 times),31.2,0.0,UPI,33,00:02:45,Home > Candy > Halls,Halls,0.0,True,2.0,Product Complaint,Positive,True,Tablet,Firefox,Android,233.108.193.253,Google,0.8,31.2,0.0811764705882353,8.0,4.0,8.11764705882352,2.43529411764705,-47.5647058823529,5.68235294117647,100.0,-585.942028985507,8.92941176470588,12.3188405797101,50.0,1.6235294117647,1,6754,2022-01-01,Clorets,31.2,5,2,1,339.2736678156214,327.0452061851502,81.65251671060444,Low,2021-12-14,9,4,9,2,388,329,308,302,299,5,1,1,2024-08-18,0,Price,20,424.0,15.0,0,0,0,00:05:00,00:01:00,00:04:00,5.0,10.0,00:03:00,00:00:00,00:03:00,No,Shipping carrier issue,No,No,Credit card expired,Own Website Data,Generic Retailer,STORE234,New York,India,TXN36704,Chocolate,High,In Stock,5,0.49811,5,Bread,0.4942,28.168620000000004,Low,2791,Regular,Medium,89.27283,0,0,0,Yes,0,Returning,South,ORD10000,5,50,1,Mumbai,Australia,Standard,0.5152899999999999,00:05:24,9,5142,2,Candy & Gum,Low,49.00095999999999,True,15.66809,1,Web
User6,user6294@yahoo.com,NewYork,58199,23,Male,English,0,Trident,Trident (8 times),98.95,0.0,UPI,40,00:11:40,Home > Gum > Trident,Trident,0.0,True,2.0,Delayed Order,Positive,True,Mobile,Firefox,iOS,230.195.178.122,Facebook,0.8,98.95,0.284634146341463,8.0,4.0,28.4634146341463,8.5390243902439,-41.4609756097561,19.9243902439024,100.0,-145.664095972579,31.3097560975609,3.51328191945158,50.0,5.69268292682926,1,3800,2021-07-01,Stride,98.95,2,1,0,165.564410248895,670.8591872392252,84.0040949884674,Medium,2021-06-04,6,5,7,1,220,182,135,120,118,6,1,2,2024-12-28,1,Price,0,425.0,10.0,0,0,0,00:01:00,00:02:00,00:01:00,1.0,10.0,00:05:00,00:00:00,00:07:00,No,Shipping carrier issue,No,No,Credit card expired,Own Website Data,Generic Retailer,STORE234,New York,India,TXN36704,Chocolate,High,In Stock,5,0.49811,5,Bread,0.4942,28.168620000000004,Low,2791,Regular,Medium,89.27283,0,0,0,Yes,0,Returning,South,ORD10000,5,50,1,Mumbai,Australia,Standard,0.5152899999999999,00:05:24,9,5142,2,Candy & Gum,Low,49.00095999999999,True,15.66809,1,Web
User7,user7932@outlook.com,Toronto,15150,23,Male,English,0,TUC,TUC (4 times),17.28,1.0,UPI,35,00:04:11,Home > Biscuits > TUC,Snacks,1.0,True,2.0,Payment Issue,Negative,True,Desktop,Chrome,iOS,200.185.88.62,Instagram,0.2,17.28,0.116388888888888,2.0,1.0,11.6388888888888,3.49166666666666,-46.5083333333333,8.14722222222222,100.0,-399.594272076372,12.8027777777777,8.59188544152744,50.0,2.32777777777777,1,6310,2022-03-01,Stride,17.28,1,4,0,158.1572653356097,385.4279488703912,51.06309223112185,High,2022-02-21,5,6,5,2,302,265,222,214,214,9,0,1,2025-01-09,1,Service,20,84.0,3.0,0,0,0,00:05:00,00:02:00,00:03:00,5.0,10.0,00:05:00,00:03:00,00:05:00,No,Shipping carrier issue,No,Yes,Payment gateway issues,Own Website Data,Generic Retailer,STORE234,New York,India,TXN36704,Chocolate,High,In Stock,5,0.49811,5,Bread,0.4942,28.168620000000004,Low,2791,Regular,Medium,89.27283,0,0,0,Yes,0,Returning,South,ORD10000,5,50,1,Mumbai,Australia,Standard,0.5152899999999999,00:05:24,9,5142,2,Candy & Gum,Low,49.00095999999999,True,15.66809,1,Web
User8,user8198@mondelez.com,Mumbai,88585,45,Male,English,1,Stride,Stride (9 times),67.64,1.0,Cash on Delivery,16,00:05:02,Home > Gum > Stride,Stride,0.0,False,3.0,Delayed Order,Positive,True,Mobile,Safari,iOS,93.23.166.56,Instagram,0.8,81.1679999999999,0.296470588235294,8.0,4.0,29.6470588235294,8.89411764705882,-41.1058823529411,20.7529411764705,100.0,-138.650793650793,32.6117647058823,3.37301587301587,50.0,5.92941176470588,0,3610,2022-07-01,BelVita,67.64,9,2,2,175.0680069481856,412.9991103475008,51.99341899366506,High,2022-06-04,2,4,9,1,321,301,278,255,246,2,4,1,2024-05-11,1,Service,10,418.0,5.0,0,0,0,00:04:00,00:02:00,00:02:00,8.0,10.0,00:07:00,00:01:00,00:07:00,Yes,Address issues,No,No,Credit card expired,Own Website Data,Generic Retailer,STORE234,New York,India,TXN36704,Chocolate,High,In Stock,5,0.49811,5,Bread,0.4942,28.168620000000004,Low,2791,Regular,Medium,89.27283,0,0,0,Yes,0,Returning,South,ORD10000,5,50,1,Mumbai,Australia,Standard,0.5152899999999999,00:05:24,9,5142,2,Candy & Gum,Low,49.00095999999999,True,15.66809,1,Web
User9,user9192@yahoo.com,Mumbai,52466,42,Other,French,0,Schweppes,Schweppes (7 times),97.54,0.0,Credit Card,34,00:15:20,Home > Beverages > Schweppes,Schweppes,0.0,False,5.0,Delayed Order,Neutral,False,Tablet,Safari,Windows,51.205.158.16,EmailCampaign,0.8,97.54,0.438571428571428,8.0,4.0,43.8571428571428,13.1571428571428,-36.8428571428571,30.7,100.0,-84.0065146579804,48.2428571428571,2.2801302931596,50.0,8.77142857142857,0,2104,2023-11-01,TUC,97.54,2,1,2,275.0176517092765,324.2029593435015,80.2842610779812,Medium,2023-10-06,1,4,3,3,414,317,272,251,248,8,1,1,2024-10-05,1,Service,15,78.0,13.0,0,0,0,00:05:00,00:01:00,00:04:00,2.0,10.0,00:02:00,00:03:00,00:05:00,No,Shipping carrier issue,No,No,Credit card expired,Own Website Data,Generic Retailer,STORE234,New York,India,TXN36704,Chocolate,High,In Stock,5,0.49811,5,Bread,0.4942,28.168620000000004,Low,2791,Regular,Medium,89.27283,0,0,0,Yes,0,Returning,South,ORD10000,5,50,1,Mumbai,Australia,Standard,0.5152899999999999,00:05:24,9,5142,2,Candy & Gum,Low,49.00095999999999,True,15.66809,1,Web
User10,user10528@mondelez.com,Mumbai,52823,63,Other,Chinese,0,Oreo,Oreo (1 times),93.86,1.0,Credit Card,22,00:08:34,Home > Biscuits > Oreo,Oreo,1.0,True,5.0,Delayed Order,Negative,True,Tablet,Safari,MacOS,125.249.71.180,Facebook,0.8,93.86,0.373043478260869,8.0,4.0,37.3043478260869,11.191304347826,-38.8086956521739,26.1130434782608,100.0,-104.032634032634,41.0347826086956,2.68065268065268,50.0,7.46086956521739,0,8361,2022-05-01,Stride,93.86,4,3,0,489.4000155461442,476.6213862496447,79.4197869044962,Low,2022-04-13,7,6,8,9,287,221,179,172,164,6,4,0,2024-08-17,1,Quality,10,312.0,8.0,0,0,0,00:01:00,00:01:00,00:02:00,8.0,10.0,00:03:00,00:00:00,00:06:00,No,Shipping carrier issue,No,No,Credit card expired,Own Website Data,Generic Retailer,STORE234,New York,India,TXN36704,Chocolate,High,In Stock,5,0.49811,5,Bread,0.4942,28.168620000000004,Low,2791,Regular,Medium,89.27283,0,0,0,Yes,0,Returning,South,ORD10000,5,50,1,Mumbai,Australia,Standard,0.5152899999999999,00:05:24,9,5142,2,Candy & Gum,Low,49.00095999999999,True,15.66809,1,Web
